comment,sentiment
讲的能不能详细一点，一个视频六分钟？六分钟我就学会了？,0
讲题的时候能不能把电路图在解析的那一页加上，要不然还要画下来或者翻来覆去的看,0
垃圾，垃圾，垃圾,0
希望演示时镜头可以不一直移动，对于这种课程来说，镜头一直移动导致看不清动作变换，根本没法学习，这真的令人非常的失望。,0
"貌似有点慢
",0
听不懂啊啊啊啊,0
理解理解理解.,0
"觉得mooc算平时成绩真的不合理，有些人。。。老实人吃亏
",0
无聊，没意义,0
证书太便宜了,0
很多时候我无法完全记忆什么时候有作业，这使得我错过了很多次作业，可以加个提醒机制吗,0
"mooc做的真的差劲
",0
难以理解，不够生动形象,0
为什么找不到后面三节的,0
课后习题很多都是课程里面没有讲到的，有点超纲了,0
很好，课程知识点基本完整，但是少了一些基本操作的算法和程序讲解，另外，可以加上一些经典案例的讲解,0
按时听课完成作业结果没有证书，真是让人头大,0
课程讲解过于死板，不能调动学生的兴趣,0
一个学期都没消息，以为没人管理了，结果这个分数是怎么算的呢,0
不好！！！！,0
看完之后更新好慢，而且换电脑了，更新又不知道，,0
评分机制不清晰，不能直观体现，上完的单元课没有标记，移动端没有移植电脑端的所有功能，对iPad的优化太差,0
有些听了几遍还是不明白，我太蠢了,0
学习进度条不够明确，没有明确显示未学习内容,0
内容挺丰富的，但是老师的用词太过于简单如“very very”不能生动地体现所表达的意境，讲解时用的句式略带有中式思维，如“the number 3 point”，课程讲解应该避免过多的“how to say”这种插入语。老师的发音偏美式。对于高水平英语学习者的话，不太建议听。老师的经验是很丰富的，举得例子也很助于理解，但我个人只从语言方面来评价，仅供参考,0
文档 一直打不开，手机电脑不同步，系统有待提升。,0
"作业题干设定不明确，容易产生歧义
课程讲述不详细，学习时大部分时间依赖网络其他资源",0
"课程繁琐 任务太杂

",0
没必要做这个课程，全部在照书念,0
经常做了却显示未完成,0
平台上需完成的作业内容太多了，评论区大量的内容并不能使师生良好交流。极大加重了学习压力。,0
网课难道就是把PPT念一遍吗？,0
本来对这课满怀期待，两个月前就预约了课程，结果没想到老师不但没什么讲解，连PPT读都读不顺，真是大失所望。,0
差评  真的很差,0
课件有的有问题，希望自己审阅,0
为什么合格却没有证书，当时也没有地方申请证书,0
"第一章摄影师的镜头很晕
课件的问题几乎无处不在
老师讲解有明显错误",0
感觉讲的没有逻辑，听起来很难理解。说的国家精品，名不副实。,0
每单元都要换老师这种授课方式接受不了,0
老师只是在阅读ppt，没有什么其他帮助,0
总卡退 经常,0
有毛病我明明已经全部看完了进度条还没满微笑脸,0
太苛刻了吧，错过了期末考试，直接就完蛋了，平时白学了这么久。慕课也不通知有考试，真的是过分,0
老师的发音真是令人愁啊。,0
学习进度不同步,0
讲的不行，下架吧别在这丢华科的人了,0
一张证书发几年发不下来，应该不止我一个因为这一张电子证书面临学分不够无法毕业的情况吧？下面那些评论的是花了多少钱请的水军？！？！,0
为什么有些书上有的内容老师不讲那,0
证书要100太坑了,0
难啊，数学要命,0
学习过程更新慢,0
怕是机器人在读板书,0
建议把提交截至的课程重新开发，避免同学遗忘,0
很粗糙的课程,0
课程讲得还行，录制效果有点差,0
普通话 都讲不好，怎么听课啊，听着难受,0
没啥用，麻烦死了，要是没有测试，单元作业还行,0
有些失望，干货较少，后面的课程更是有大量的视频来凑数，感觉制作不是很用心。,0
课都讲完了，考核方式还能随意更改而且是彻底更改的，真是没见过。,0
给你一个差评。,0
课题不够详细,0
讲课一般般吧,0
很烂的课，老师太不负责任,0
照本宣科，听的好呆滞，,0
我不喜欢慕课,0
第5课信任一节的视频错了，请更正。,0
没有参考资料，学习不方便,0
呵呵，我们学校根本没有考握力考试，怎么在mooc 的测验里就有了？？？？？,0
"为啥是零点截止，我半夜11点多做作业，刚写完告诉我不能交了，这有点不太合理吧
 ",0
毫无帮助，一个体育课搞这么多视频出来，上体育课又不给时间看慕课视频，都在拍视频和课堂互动，这些视频要课余时间看，一个体育课要占用这么多时间合理？？？,0
太简单了，重难点不突出,0
就是在念课本,0
有很大的收获,0
开了课程，为什么还要关闭？,0
随机上传作业，从来不提前通知，要人一天24小时盯着这个课程。无语至极。然后再一看作业，就是已经截止，不知道是怎么设置得。,0
什么时候申请证书,0
呕。。。。。,0
"为什么我看了这么久！还是两个小时？
为什么 ，给我一个理由？
",0
全弄了几遍，还是没有完成,0
特别没意思，抓不住重点的感觉,0
零基础的童鞋表示一上来讲理论会比较乏味且不易理解，老师拿个牙齿模型讲会比较容易理解。,0
无甚用处，瞎折腾,0
没学就别做了,0
老师念ppt有意思不？我都要睡着了,0
形式主义，不喜欢,0
这还国家精品，就是读ppt……,0
特别的好，很好,0
ppt念的挺好,0
内容没问题 老师没毛病 就是软件。。。 卡死 加载不出来 体会,0
PPT基本念得一字不差，非常生硬，根本没有对其中内容做出具体的解读。,0
讲的真的不咋样，本来本着是华中的看的，结果也是个念ppt的，一言难尽，高校教师的质量真的，，,0
听过的最烂的mooc，照本宣科，敷衍了事！,0
全部照着读，以为我们是认不得字还是怎么的,0
教授讲课深入浅出，易懂、爱听！,0
学习干事非常差劲，而且评价内容还不让说不好听的话,0
太理论，太麻烦,0
有些学校的还绑定不起了!,0
这个测试时间也太短了吧,0
为什么一直不显示学习时长和学了多少课时,0
不好，一点也不好,0
没事找事给我们做,0
我很同意第五次开课的那位同学 逗豆mooc4 的评价 感觉评价像是刷出来的 因为老师其实就是生硬的照着ppt去念的 希望老师上课更加生动点 并且可以加入自己对于内容的思考与理解。当然也是因为我基础差点，可能衔接不上，不过还是希望老师阔以看看我的建议，谢谢！,0
搞互评就是脑子有问题，互评公平性从何而言。总有极少数同学随意打分,0
我觉得概念讲解不深，就想在读PPT,0
"多媒体看起来好难受啊
有没有不用多媒体的讲师",0
"不知道在干啥
",0
这音质，我tm无语了，这怎么评上的？越来越离谱,0
这课答案能改善吗？跟憨批一样，各种符号问题就这？,0
这课程怎么回事，是不是老师讲完课就不上线了，第一周的成绩还没出来，不知道后面要不要学了,0
没有营养，非常枯燥,0
基本是念ppt,0
   太难懂,0
看过的学时都不同步，看了一个小时才加几分钟,0
课程组织严密，讲解细致到位，非常好。只是到现在都还有一些问题未搞懂，如：1.不会发鼻浊音；2.存在句中，有时是...........哇.............咖.........；而有时又是........尼哇.........咖...........。到底为什么？何时用“哇”，何时用“尼哇”？,0
对着PPT一直念也行吗,0
为了看个课要把我手机卡坏，咋搞,0
内容还可以，有些地方讲的也不错，就是老师废话有点多，我是能明白老师是想通过讲课给大家讲讲人生的道理。但扯得有些远就有点影响听课体验了，还有估计老师是工科的老师，对于社会学、文科相关的论文写作因为不涉及到做实验之类的例子，所以听完还是听迷茫的~ 理工科的学生可以通过实验、数据来发表论文，那文科生呢？个人的观点论点很容易与他人重合、要论证的时候应该“引用？”“社调？”,0
这门课程考试评分标准含糊不清，让不少没有做高数1，2的人十分无语。肯定有人分母看了老师说的不需要做高数1，2。结果后来发现全部被坑了,0
这是我听过讲得最好的公司法课程，透彻、精辟。,0
"照本宣科，毫无特点，感受极差
",0
有点快，举的例子有点难,0
这课答案跟鬼一样垃圾，five,0
讲正太区间估计的那个女老师，ppt错了也照着念，明明是要算μ，变成了U。,0
两分给男老师，王峰老师，好自为之吧，别误人子弟了,0
互评真的好麻烦，浪费时间,0
期末考试时间随意更改，没有一点公信力。,0
哎。。。。无语了,0
测验有的题明明做对了，可却给我打错了,0
一点用都没有，垃圾软件,0
没收获，没意思，建议取消哦,0
希望有更多细节和更全面的知识,0
有的简单的地方好理解，觉得还行，有的难得地方讲得跟屎一样，直接跟着PPT练，有屁用，一点自己的讲课方式都没有，你是在练习普通话呢还是在讲课呢,0
文不对题，题目内容与课程内容完全不符,0
好难啊，正在认真学,0
这种念ppt的风格实在是。。欣赏不来,0
我觉得课堂可以再生动一点，有点枯燥乏味,0
教师讲课非常棒,0
作为一个985，课程质量有待提高,0
难学极了，分分钟逼疯我,0
不做实验就考试，verilog那部分怎么能很好的掌握,0
课程中级跳出的题目很好，但是填空题的方式回答因为标点符号原因，回答都是错的,0
"为什么我的看了的视频和没看的视频看上去没区别 别人的都能知道那些看过那些没看
",0
非常不满意，慕课上讲的其实都不是很全面，做预习用还可以，但老师完全直接就让看这个，课一点不讲，学的像shit一样,0
学习过程太繁琐,0
"动作讲解视频不清晰
",0
"还行吧有用
",0
不喜欢老师的讲课方式，讲的不够详细,0
照念PPT，不如直接看ppt文件,0
互评机制真恶心,0
这是近两年的教学吗？龟速念ppt……,0
概念真的很重要啊，同样的一道题错了三遍，就是把概念没搞清楚。,0
考试题都全是英文的，看都看不懂，。。。,0
"照着课本读也叫国家精品课？
",0
作业互评真的ex,0
这测试是真的脑瘫,0
没课件 不方便学习,0
在课堂上学习后线上的学习 给予了充分的复习，形式很棒给赞,0
垃圾，完全照着ppt念一遍就玩了，一点也不讲解，看这种垃圾视频还不如直接看书呢，真垃圾，真不知这么多好评哪里来的,0
意义不大而且容易被遗忘,0
没有任何作用,0
字幕都没有。,0
做的比较好的课程,0
老师说话发音太难受了还没字幕,0
老师太不负责任,0
怎么没课件呐,0
略微有点不详细，不太好入门。,0
我一定是上了个假北邮，想不到我们学校老师这么不负责任，慎选,0
感觉老师就是在念PPT，为啥不看镜头啊，看着好别扭,0
看老师眼睛，感觉在念PPT。以为由出这本教材的老师讲会很透彻，听完第一节后，连这本教材都不想读了,0
听老师念稿子吸收不了啊。。,0
不太好。。。,0
我觉得效率不高，害,0
为什么这么卡顿？还下载不了？,0
"浪费时间毫无意义
",0
老师讲的很生动，容易理解。,0
用英文测试 用中文讲课 ，这样的做法感觉不伦不类。,0
说的不错，但是全是英文。,0
吴老师做出了化学教育史上极具改革意义的举措,0
难受  我太难了,0
任务点不灵敏,0
看着ppt上面的字念就叫教书吗,0
念经，如果对着PPT念的话那意义在哪,0
觉得挺不错，就是更新太慢。不贴切人，还有就是为什么我明明没有提交考试答案后台没有显示，导致我错过了考试挂科/??/?/????？//////希望能给我一个答案。谢谢。,0
死板死板死板的课程，不建议拿这个学，太坑了,0
不是在线开放课吗，干嘛关不闭不让回看？,0
学校要求的，竟然还要收费，而且不便宜！,0
"填空题怎么搞？！！！

还望修正题目形式！！！",0
题目没有答案和解析,0
通过学习。我增长了知识提高了有效表达的能力,0
方便预习，可以回播。,0
感觉就太专业了。。是不是，好深奥的样子,0
这门课程的学习让我明白中国古代建筑具有悠久的历史传统和光辉的成就。中国古代建筑艺术的特点是多方面的。它让我理解建筑艺术的主要特征，还了解中国古代建筑艺术的一些重要特点，然后再通过比较典型的实例，进行具体的分析研究。,0
作业太多了！！！容易忘，互评环节太离谱了,0
"一般般，给个提示吧要考试
",0
为什么讲课的术语和测验的东西不一样。。。,0
我刘超，不想看见你，退下吧,0
课堂形势无聊,0
照PPT宣科，有点生硬。讲的很浅显，感觉像是在应付。给差评。,0
慕课的系统开发的太难受了,0
唉，一言难尽啊,0
声音能听的嘛 ,0
中国的教师在中国的大学里，又不是英语课，为什么不用中文？ 最多一颗星,0
绪论测试咋回事啊？,0
第一章节与课本不匹配,0
明明完成了，却是21/32,0
老师完全就是念PPT啊...语速还很慢 要开1.5倍速看ヽ(#`Д′)ノ,0
国家精品那个女老师就在念PPT,0
根本就讲不清楚，就拿第一节的“占空比”来说，根本就不清楚，一查百度词条十分清晰。表达都不清楚，那学生岂不是都走歪了？演讲不够明晰那怎么去教学生，怎么获得进步？,0
为什么我的证书一直没有、,0
老师完全就是读稿子这样也能是国家精品课？？,0
讲的太快，语速太快，听不懂,0
这都什么，讲课挺好 分都出俩月了还不能认证,0
"
老师可以先练练普通话吗",0
时间设置不合理,0
语速好快啊！内容太精炼了点！能详细一点就好了。,0
"关系数据理论讲的太不熟练了，显得生硬，感觉照本念书，，，自己都没理解透，所以根本无法好好解释，，，这样的课就不要放MOOC上了。。
还有不原油的动画放映，干扰学生看视频和思考，，，一句话，课程质量做的太差",0
没有充分举例,0
"老师没上过课，还有考试咋考
",0
刚接触。感觉挺难得,0
对目前中国的形式与相关政策有了更深的了解与理解,0
"不适合大部分学生
",0
老师讲课方式颇具特色,0
为什么突然改了评分标准，之前是最高分，转眼变成平均分，本来想练习一下，没成想,0
英语慕课使我受益匪浅,0
主讲老师只会念ppt，来听网课的大多基础不好，这就像完成任务一样不认真，国家精品课怕是看在大学的名义上给的吧,0
照本宣读，都是书上的干条条，没有教师自己的理解和解读。可以理解教授面对镜头的拘谨，但是全程都盯着字幕也不太好吧。而且内容方面真的太理论，没有实际的引导，报着高期待来，但实际的启示真的很少。,0
照着课本念。。。,0
学了没进度，hapi软件,0
哭了，最终成绩50多，虽然大部分原因在我//,0
老师对课程开发能力有待提高，系统有待完善，线上线下学习没有合理安排权衡！,0
说实话不如之前老师直接教,0
为什么下载不了,0
乱来，时间老是没有规律,0
好多说的太模糊，只是讲概念谁记得住,0
说实话，个人觉得不怎么样，比较粗略，视频卡顿，老师讲的也很平常，希望讲的没有讲到，例子有很多，但是没有太多的分析，有时候都不知道怎么得出的结果，可能是我基础差的原因，个人觉得砸了湖大的招牌。,0
考了四次了，才发现这个课程是盗版的，我的平时分看来是没了，这门课也凉透了，这期末考90分都没用，这种盗版课为什么不关闭，我一直纳闷为啥每次做测试都提示我到期了成绩无效，还有，为什么不能给零分，真的一颗星都不想给，外校的学生谁会看，开这门课的价值就在于坑湖大自己的学生，提高挂科率,0
非常失望，根本听不懂，也不知道那块是重点、应该做笔记,0
还是有些复杂  没讲如何翻译工尺谱,0
太卡了，失去学习激情,0
为啥我看不了视频啊，着急,0
"课程内容不完整 连接不上？？
",0
工尺谱学的还是不够懂，有点懵，是我领悟低。还有就是不可以用手机看题目或者考试，今天准备提交作业因为没电脑与考试完美地避开了，对于没电脑的同学，这种方式真的有点不太方便，不过老师的教学还是没得说,0
为什么不能向老师提问了 开玩笑嘛 不会的就问不到人是吗,0
没有足够的宽容度，给同学留的时间太少了，没来得及做考试就截止了。每次都认真学习，认真回答却很少能有回应。,0
念教材，应付,0
形式挺好的，就是有点跟不上节奏,0
系统总是出错,0
mooc内容太多了 负担太重,0
老教授全程读PPT，普通话还不标准。课程严重缺乏例题，很多例题还是书上的。。。。。。,0
听不太懂。。。。,0
有讲错的，老师好像没备课,0
念ppt都念错，最烂的复变函数之一,0
一直不增加课时 是不是系统问题,0
"非常棒，老师讲解生动精炼
",0
看了一节就看不下去了，完全照着ppt讲定义，推荐北理工的，,0
照着题字器读还当我们看不出，有可能根本没把我们这些学员当回事，一节课5到8分钟就不好好讲了，别参与，浪费时间!!!,0
看了课以后不出进度,0
测试题打不开,0
讲课水平需要提高，没有重点。,0
课程安排合理,0
为什么开学的时候没有通知,0
看了评论感觉还可以，实际看了两节课。我个人认为，如果讲市场营销。在前几节节课里没有让我有看下去的欲望。没有抓住观看者的需求，我觉得还是不太成功的。理论是一方面。实际是另一方面。看了前两节，不知道想表达什么。,0
好难受，学不进去啊！,0
"气死爸爸了
",0
课程内容老旧且无趣，大部分时间都在棒读PPT,0
看了两分钟耳的解剖生理，就放弃了。完全就是在背书，跟我自己看文字有什么区别？,0
老师授课很输入，达到抛开现象看本质的效果,0
"有个致命的缺点，讲课的时候不能在图片上指出相应的区域,像我们这样用手机学习的人根本看不见图片上的字，基础差的根本就不知道老师讲的是哪个部位啊",0
学了这么久，很有收获。,0
真的很不好意思，我觉得想在念书,0
真心有待提高,0
"只能这么说了：这位老师念书念得非常好
与其这样快速念书让人一脸懵逼，不如我自己慢慢看书",0
课程设置很好,0
课件看不了！！！！,0
刻板生硬，课件里面错别字有点多,0
就那样吧不咋地,0
这个必须和答案写一模一样才算对？意思表达一样还不行,0
"不及时更新进度，老是担心自己没看
",0
老师上课无趣，全是读PPT,0
听不懂，抽象,0
ppt选手……,0
希望有详细的推倒,0
很一般很一般,0
真滴是好卡呀！,0
老师要求看的，刚开始觉得老师讲的还不错。可是看着看着发现，这个老师讲话语气永远是那个样子，听过课的自然懂。,0
单元测试，我还没开始，你就结束，真的坑，而且学习这么长，给人测试的时间却这么短,0
这都学的是啥啊a,0
内容太水了。。。。,0
ppt念得很好，已阅,0
ppt只给答案不给计算过程,0
完全念书，没有必要这样糊弄，真的越来越差了,0
自己看书更能理解记住，白瞎了。,0
讲的不细，也没有例子,0
真的是在念书，哪儿都不知道是哪儿,0
学习时间太少，完不成课程,0
老师口语需要加强啊，有点不习惯,0
课程时间有点短，不能完全吸收,0
老师讲课有口音，难理解,0
系统操作有点乱,0
以前上过这个老师的课，大而空，有点端着了。,0
感觉内容较多，有些在自己看视频时，也不是能够完全理解,0
"因为研究方向的问题，只看了抗风内容
首先，引用的数据还是2001年的荷载规范（讲地面粗糙那一节），还有关于山丘地形对风雅高度修正系数说明，我看了2012荷载规范，没有找到他讲的那些内容，不知道这个公式里k1，k2，k3哪来的（2001和2012这个修正是没有改动的），可能我积累的还是有些少吧，但老师起码得说明是具体出自哪个规范
说实话，慕课里讲抗风的还是太少了，希望能有所改进吧",0
为什么学完了，进度差3个,0
此课程对于非专业同学难度很大，课程语速过快且内容衔接等同没有。8分钟的网课我也只能懂1分钟的内容。学习此课程的童鞋还是上课好好听吧。,0
经常容易容易忘记,0
不行，有时无法做题,0
为啥看的时候，不动学时,0
收获不大，还繁琐,0
很好学到了很多,0
无法下载视频,0
课程略显枯燥,0
我之前学的成绩全没了，都清零了，真的很失望。,0
什么垃圾课程,0
湖南大学培养这么多复读机是做什么？,0
太过精简，最后可以讲讲过程吧，反应跟不上,0
很烂的课，团队不给力真掉份,0
进度太慢，等待更新。请赶快更新啊！,0
没举例子，太难懂了吧,0
感觉老师没有备课，讲得太枯燥，像是跟着ppt念，思维跟不上,0
讲的课程听不懂，可能我太笨了！,0
为什么只有第一章,0
讲的瞌睡看的瞌睡,0
就念ppt呗，关键步骤都懒得念,0
"基本在通篇读ppt
",0
垃圾垃圾。。。,0
"
有点失望。。。",0
"垃圾的
 报告",0
看完了没有学习记录是怎么回事,0
老师语速可以稍微慢一些,0
早就做好了，咋不发,0
太差了什么啊,0
注册结构工程师报考年限作业答案有误,0
咋就关闭了，还想学学来着～又没开学慕课都不开放啊,0
为什么我的分数这么低,0
这个软件bug很多，希望得到改善 ,0
老师的麦换一下就更好了,0
慕课上太粗略，没有对原理的理解，真的很差，请慕课不要一直让我评价了。怎么评价我都给最差的评价,0
实验也能用慕课啊,0
讲的是真不咋地  ,0
发作业太不方便,0
"受益匪浅，也发现自己还有很多不足的地方
",0
老师讲课很生动，，值得学习，,0
为什么课程大纲里有的和真正视频课程不符呢,0
学术规范和论文写作内容多，收获很大。,0
"视频收音效果差，
课程完全实在读课本，，，
",0
ppt比较旧，关键是没字幕，很多时候老师说话听不清,0
返回之后就进不去了,0
对于没有一定基础的人，有些知识点直接上来也不知道啥和啥，都不讲，好像讲个概念我们就懂了一样,0
题目刷新不出来，只能看到题号，没有题目，还只有两次提交机会，坑人呢？,0
看了课之后不显示观看,0
太垃圾了，臃肿,0
不是写的可以测验两次吗？怎么一次就不行了？,0
所以为什么作业早就截止了？！！！！！！,0
"思修太难了
",0
感觉在念ppt,0
考试内容远超学习进度,0
进度条更新不及时,0
"老师讲完全可以看图理解   没必要让她讲  希望可以增加自己的经验之谈对我们进行一些必要的提示
",0
"12,13号看期末考试还没有开放，今天16号再看，已经过了提交时间",0
多数老师讲课都像机器人播报一样，怎么回事？就算照稿子念也有起伏吧？大学老师不是这种水平的啊！这个课还挺失望的。,0
讲的无聊得很,0
传说中的PPT老师，内容严重过时，实在不敢相信还是国家精品,0
很坑的课，念PPT画质不敢恭维，团队不给力真掉份,0
评分机制真的垃圾,0
截止时间变来变去 令人迷惑,0
考试不通知一下,0
有一点无赖哦不好玩,0
老师我真的只能说，照着ppt念的话不如我们自己看,0
在现代社会中礼仪非常重要,0
作业有点多，互评记不住，截止时间没提醒,0
作业太多，互评太烦，还记不住,0
"学习了咋没显示进度啊
",0
答题时间限制,0
对于受众群体没有了解，考试设置在节假日，对于没有用手机，用电脑的受众不负责。然后最后考试也听说是只给了两个小时，为难人，不是让不会的人不通过，是让不盯着电脑，盯着手机的人不通过，我觉得很有趣。如果这样的话开这课有何意义。,0
我看过的课程进度一直不更新,0
因为疫情，上课别开生面。体育课慕课是截止前一个礼拜通知要刷的，真是太棒了呢，,0
课件做的太糊弄人了，4-5页，视频里讲的PPT根本没有，讲的内容也都是比较浅显的，所以内容不突出，看书都比老师学到的多，差评！,0
课程讲的好是好，可是课件和作业提交方面的问题简直令人抓狂！课件跟课堂讲课有对不上的地方，有的还没有······提交日期太紧了吧，谁还只报一门课？都要忙着交作业，然后章节排在后面的竟然交作业时间比前两章早？都没看到······,0
课程资料很乱,0
学到的内容较少,0
"这种课程线上上课是没有意义的
",0
不是有点失望，是很失望。好学校要有点格局，对待外面的学生也认真一点,0
学习的氛围很好都是提,0
老师讲得很清晰有条理，是课后巩固的很好的平台。,0
太难了 很难学,0
我也会读稿子啊,0
还行吧，听不懂,0
僵化的讲课方式，感觉在念稿子，一点儿也不喜欢，一星,0
老师对学生提出问题答复迟缓。反复提出证书申请问题，都不予回复，导致无法申请纸质证书。其实要是重视学生意见，自己不懂，也是可以积极搞懂了答复的。,0
"不知道在学什么
",0
课时一直刷不上,0
感觉证明题少,0
网上课程 有点浪费时间，意义不大,0
动不动就少时间要不就少进度,0
"测试与作业部分的答题形式很不正常，希望能想正常的选择题一样，有个单选框点击的形式，而且设置的作业互评很没有意义。而且，每一课时里面包含的视频太多不利于学习，改进分配形式。
希望改进。",0
老师总是在念ppt,0
课程内容组织很好，老师讲的详细认真，就是第四章上下弄反了,0
网站服务器太垃圾，加载视频课件完全是浪费人的学习时间。,0
不行，特别差,0
配套教材列出了 5本，到底用的是哪一本？,0
这个女老师老是忘词，光停顿，太难受了,0
学到很多防护知识哦,0
我需要你读吗?差评,0
老师有点不自然，重要的不是讲怎么去遵守规章制度、伦理道德，更好的是寻求自我、认知自我的方法，不同文化中的风俗习惯、饮食偏好都不尽相同，世界需要制定制度让人们遵守创造和谐，更需要追寻制度伦理的道路,0
全程读ppt,0
好像一个复读机的老师好，你讲的东西听不懂呀！只是听到你念一些文字的声音，没有用处啊？这样学编程的哈就相当于背书一样，司机硬背！,0
我感觉有时候动不动就打不开这个软件拉,0
有难度，有深度，好评,0
很麻烦，严重影响到正常的书本的学习,0
一点都不生动,0
内容拖沓灌水，,0
课程不错，但是学习完了不知道怎么回事一直申请不了证书,0
作业形式太冗杂了，几道题能解决的事情非要弄什么互评，而且讲的课和题的难度是两个层次,0
好叭我觉得不咋样,0
金融专业学生，真心觉得老师是照着课本一字不漏读的！看了还浪费时间，不如静下心来自己看书比看视频收获得多！真是不配国家精品课的称号！,0
系统延迟，特别迟钝,0
很好希望以后更多趋势的内容,0
我不知道你好意思 你这个软件后台是不是拿腾讯云搭建的 还是笔记本电脑 ,0
就这？就这垃圾课程？4-2音画不同步那是真的牛逼，女的说话我要死了·，就这？还出视频？你们出视频不好好审核的吗，就这垃圾视频·也好意思说人人会建模，垃圾,0
都是一些啥呀,0
方向导数与偏导数关系第二个例题没有图，这个那个的根本没说明白,0
没有解析吗？,0
互评真的很烦,0
垃圾垃圾垃圾,0
让一个学生代讲，说话都不利索，有什么错误的地方直接剪辑就糊弄过去了，有的视频音画严重不符也不管，醉了。,0
太简单了，小学生看的。。。,0
"学了这么久，老师把这门课放到自己门下了
",0
挺好的。最好划下重点。。。因为不知道要考啥，全记住也没那个精力,0
真垃圾  一直加载,0
课程内容十分充实，老师讲课都很认真，结合课堂学习很有用.,0
在手机上看视频很方便，就是老师们说话有点口音不好听懂，希望加字幕，用网页配合文档学习很直观，那个文档加载不够流畅望改进,0
